date,knri,hglg,hgcr
2016-01-04 16:56:00,106.0,980.92,923.51
2016-01-05 16:56:00,105.01,957.67,923.51
2016-01-06 16:56:00,108.35,981.99,923.51
2016-01-07 16:56:00,107.5,982.02,923.51
2016-01-08 16:56:00,106.5,972.2,923.51
2016-01-11 16:56:00,106.49,972.21,908.54
2016-01-12 16:56:00,108.51,972.21,908.54
2016-01-13 16:56:00,107.5,973.19,923.51
2016-01-14 16:56:00,106.45,972.2,918.52
2016-01-15 16:56:00,105.0,977.11,908.54
2016-01-18 16:56:00,105.95,973.19,913.53
2016-01-19 16:56:00,104.51,972.2,918.52
2016-01-20 16:56:00,103.56,952.58,918.52
2016-01-21 16:56:00,102.0,957.45,918.52
2016-01-22 16:56:00,102.01,950.6,918.52
2016-01-26 16:56:00,101.0,901.51,923.51
2016-01-27 16:56:00,101.03,874.06,923.51
2016-01-28 16:56:00,99.6,883.82,924.51
2016-01-29 16:56:00,102.0,883.82,916.53
2016-02-01 16:56:00,101.3,872.06,941.48
2016-02-02 16:56:00,99.82,869.05,940.49
2016-02-03 16:56:00,100.6,869.06,918.52
2016-02-04 16:56:00,101.25,854.36,918.52
2016-02-05 16:56:00,101.3,854.36,918.52
2016-02-10 16:56:00,103.99,854.35,918.52
2016-02-11 16:56:00,101.7,849.45,953.33
2016-02-12 16:56:00,102.01,864.19,953.33
2016-02-15 16:56:00,100.2,864.18,918.52
2016-02-16 16:56:00,101.4,873.51,918.52
2016-02-17 16:56:00,100.16,888.73,923.51
2016-02-18 16:56:00,100.29,875.96,927.01
2016-02-19 16:56:00,100.95,883.82,932.45
2016-02-22 16:56:00,100.5,869.09,919.52
2016-02-23 16:56:00,100.7,859.27,919.52
2016-02-24 16:56:00,104.95,864.18,920.52
2016-02-25 16:56:00,107.0,864.18,921.02
2016-02-26 16:56:00,108.99,864.18,920.52
2016-02-29 16:56:00,108.9,864.18,923.51
2016-03-01 16:56:00,106.01,861.09,913.53
2016-03-02 16:56:00,106.99,859.26,914.53
2016-03-03 16:56:00,106.35,869.09,923.51
2016-03-04 16:56:00,108.2,876.95,928.51
2016-03-07 16:56:00,107.6,898.55,937.49
2016-03-08 16:56:00,107.0,899.53,938.49
2016-03-09 16:56:00,108.0,903.46,943.48
2016-03-10 16:56:00,109.0,918.19,931.5
2016-03-11 16:56:00,111.04,937.83,933.5
2016-03-14 16:56:00,112.0,942.74,933.5
2016-03-15 16:56:00,111.95,952.56,938.49
2016-03-16 16:56:00,111.0,942.74,943.48
2016-03-17 16:56:00,113.98,971.22,948.47
2016-03-18 16:56:00,114.5,982.02,948.47
2016-03-21 16:56:00,114.92,981.05,958.47
2016-03-22 16:56:00,118.0,986.93,953.49
2016-03-23 16:56:00,119.0,998.72,953.49
2016-03-24 16:56:00,115.0,998.72,953.49
2016-03-28 16:56:00,116.0,998.72,985.41
2016-03-29 16:56:00,116.49,982.02,986.41
2016-03-30 16:56:00,113.99,991.83,973.43
2016-03-31 16:56:00,114.23,998.72,973.43
2016-04-01 16:56:00,112.1,991.84,986.41
2016-04-04 16:56:00,115.21,982.02,953.58
2016-04-05 16:56:00,114.51,981.04,954.58
2016-04-06 16:56:00,114.3,986.93,953.47
2016-04-07 16:56:00,112.99,972.19,953.47
2016-04-08 16:56:00,112.61,972.19,953.47
2016-04-11 16:56:00,112.01,977.11,953.47
2016-04-12 16:56:00,112.41,977.11,938.54
2016-04-13 16:56:00,113.9,984.92,968.44
2016-04-14 16:56:00,113.37,980.06,968.44
2016-04-15 16:56:00,113.19,1001.66,953.46
2016-04-18 16:56:00,115.0,1031.11,958.46
2016-04-19 16:56:00,117.28,1001.65,958.46
2016-04-20 16:56:00,117.59,1011.48,968.44
2016-04-22 16:56:00,118.98,992.01,968.44
2016-04-25 16:56:00,118.9,1001.65,977.61
2016-04-26 16:56:00,118.3,1011.48,958.46
2016-04-27 16:56:00,119.0,1021.29,958.46
2016-04-29 16:56:00,119.82,1001.66,973.43
2016-05-02 16:56:00,121.5,996.75,973.43
2016-05-03 16:56:00,120.91,1001.66,958.46
2016-05-04 16:56:00,119.99,1002.89,953.47
2016-05-05 16:56:00,119.87,1060.59,953.47
2016-05-06 16:56:00,121.8,1068.44,953.47
2016-05-09 16:56:00,119.55,1031.12,953.27
2016-05-10 16:56:00,121.58,1028.18,958.46
2016-05-11 16:56:00,123.7,1036.03,958.46
2016-05-12 16:56:00,125.75,1050.76,953.47
2016-05-13 16:56:00,129.95,1058.62,958.46
2016-05-16 16:56:00,129.79,1066.48,968.44
2016-05-17 16:56:00,130.5,1079.23,968.43
2016-05-19 16:56:00,129.33,1075.32,968.43
2016-05-20 16:56:00,129.98,1064.02,968.43
2016-05-23 16:56:00,129.0,1065.5,968.43
2016-05-24 16:56:00,130.5,1050.76,978.43
2016-05-25 16:56:00,127.0,1050.76,978.43
2016-05-27 16:56:00,126.0,1050.76,987.41
2016-05-30 16:56:00,128.0,1060.59,979.42
2016-05-31 16:56:00,127.99,1043.89,978.43
2016-06-01 16:56:00,128.99,1043.89,968.44
2016-06-02 16:56:00,128.38,1025.23,968.44
2016-06-03 16:56:00,127.99,1021.31,973.43
2016-06-06 16:56:00,130.01,1025.22,953.96
2016-06-07 16:56:00,130.0,1025.23,953.96
2016-06-08 16:56:00,129.98,1021.16,973.42
2016-06-09 16:56:00,131.4,1031.12,971.44
2016-06-10 16:56:00,133.8,1050.76,978.43
2016-06-13 16:56:00,133.0,1040.94,965.45
2016-06-14 16:56:00,130.01,1034.18,978.42
2016-06-15 16:56:00,131.5,1040.94,973.43
2016-06-16 16:56:00,129.0,1047.82,977.43
2016-06-17 16:56:00,127.49,1047.81,977.43
2016-06-20 16:56:00,127.57,1047.82,977.43
2016-06-21 16:56:00,129.0,1045.85,968.44
2016-06-22 16:56:00,128.05,1040.94,966.44
2016-06-23 16:56:00,130.0,1040.94,966.44
2016-06-24 16:56:00,127.5,1045.85,966.44
2016-06-27 16:56:00,129.0,1038.0,953.47
2016-06-28 16:56:00,128.8,1036.03,940.59
2016-06-29 16:56:00,130.4,1040.94,968.41
2016-06-30 16:56:00,130.5,1050.76,968.41
